spawn qemu-system-riscv64 -semihosting -M virt,aclint=on -cpu rv64 -smp 8 -bios none -kernel nuttx -nographic
ABC[    0.000000] mm_initialize: Heap: name=Kmem, start=0x80206c00 size=2069504
[    0.000000] mm_addregion: [Kmem] Region 1: base=0x80206ea8 size=2068816
[    0.000000] mm_malloc: Allocated 0x80206ed0, size 192
[    0.000000] mm_malloc: Allocated 0x80206f90, size 48
[    0.000000] mm_malloc: Allocated 0x80206fc0, size 288
[    0.000000] mm_malloc: Allocated 0x802070e0, size 32
[    0.000000] mm_malloc: Allocated 0x80207100, size 672
[    0.000000] mm_malloc: Allocated 0x802073a0, size 80
[    0.000000] mm_malloc: Allocated 0x802073f0, size 240
[    0.000000] mm_malloc: Allocated 0x802074e0, size 464
[    0.000000] mm_malloc: Allocated 0x802076b0, size 176
[    0.000000] mm_malloc: Allocated 0x80207760, size 336
[    0.000000] mm_malloc: Allocated 0x802078b0, size 464
[    0.000000] mm_malloc: Allocated 0x80207a80, size 464
[    0.000000] mm_malloc: Allocated 0x80207c50, size 528
[    0.000000] mm_malloc: Allocated 0x80207e60, size 80
[    0.000000] mm_malloc: Allocated 0x80207eb0, size 80
[    0.000000] mm_malloc: Allocated 0x80207f00, size 80
[    0.000000] mm_malloc: Allocated 0x80207f50, size 80
[    0.000000] mm_malloc: Allocated 0x80207fa0, size 80
[    0.002000] mm_malloc: Allocated 0x80207ff0, size 32
[    0.002000] mm_malloc: Allocated 0x80208010, size 160
[    0.003000] mm_malloc: Allocated 0x802080b0, size 32
[    0.003000] mm_malloc: Allocated 0x802080d0, size 32
[    0.004000] mm_malloc: Allocated 0x802080f0, size 32
[    0.005000] mm_malloc: Allocated 0x80208110, size 368
[    0.005000] mm_malloc: Allocated 0x80208280, size 288
[    0.005000] mm_malloc: Allocated 0x802083a0, size 32
[    0.006000] mm_malloc: Allocated 0x802083c0, size 672
[    0.007000] mm_malloc: Allocated 0x80208660, size 32
[    0.007000] mm_malloc: Allocated 0x80208680, size 160
[    0.007000] mm_malloc: Allocated 0x80208720, size 133136
[    0.010000] mm_malloc: Allocated 0x80208720, size 32
[    0.011000] mm_free: Freeing 0x80208720
[    0.011000] mm_malloc: Allocated 0x80208720, size 80
[    0.012000] mm_malloc: Allocated 0x80208770, size 272
[    0.012000] mm_malloc: Allocated 0x80208880, size 32
[    0.013000] mm_free: Freeing 0x80208880
[    0.013000] mm_malloc: Allocated 0x80208880, size 112
[    0.014000] mm_malloc: Allocated 0x802088f0, size 32
[    0.015000] mm_malloc: Allocated 0x80208910, size 128
[    0.016000] mm_malloc: Allocated 0x80208990, size 2768
[    0.016000] mm_malloc: Allocated 0x80209460, size 128
[    0.021000] mm_free: Freeing 0x80208910
[    0.021000] mm_free: Freeing 0x80208990
[    0.022000] mm_free: Freeing 0x802088f0
[    0.022000] mm_malloc: Allocated 0x802088f0, size 368
[    0.022000] mm_malloc: Allocated 0x80208a60, size 64
[    0.022000] mm_initialize: Heap: name=(null), start=0xc0200000 size=528384
[    0.022000] mm_addregion: [(null)] Region 1: base=0xc02002a8 size=527696
[    0.022000] mm_malloc: Allocated 0x802094e0, size 3088
[    0.022000] mm_malloc: Allocated 0x80208aa0, size 288
[    0.022000] mm_malloc: Allocated 0x80208bc0, size 32
[    0.022000] mm_malloc: Allocated 0xc02002d0, size 672
[    0.022000] mm_malloc: Allocated 0xc0200570, size 32
[    0.022000] mm_malloc: Allocated 0xc0200590, size 32
[    0.022000] mm_malloc: Allocated 0xc02005b0, size 32
[    0.022000] mm_malloc: Allocated 0x80208be0, size 32
[    0.022000] mm_malloc: Allocated 0x80208c00, size 160
[    0.022000] mm_malloc: Allocated 0xc02005d0, size 134160
[    0.022000] mm_free: Freeing 0x80208a60
[    0.023000] mm_free: Freeing 0x802080b0
[    0.024000] mm_free: Freeing 0x802080f0
[    0.024000] mm_free: Freeing 0x802080d0
[    0.028000] mm_malloc: Allocated 0x802080b0, size 80
[    0.031000] mm_malloc: Allocated 0x80208a60, size 64
[    0.032000] board_userled_all: ledset=0x0
[    0.032000] board_userled_all: led=0, val=0
[    0.032000] board_userled_all: led=1, val=0
[    0.033000] board_userled_all: led=2, val=0
[    0.033000] mm_malloc: Allocated 0x80208ca0, size 80
[    0.034000] mm_malloc: Allocated 0xc02005d0, size 848

NuttShell (NSH) NuttX-12.4.0-RC0
nsh> [Kqjs 
[    0.044000] mm_malloc: Allocated 0x80208cf0, size 112
[    0.045000] mm_malloc: Allocated 0x80208d60, size 48
[    0.046000] mm_malloc: Allocated 0x80208d90, size 32
[    0.047000] mm_malloc: Allocated 0x80208db0, size 32
[    0.049000] mm_malloc: Allocated 0x80208dd0, size 128
